Entity_Name,Entity_Type,SEC_CIK,13F_Status,Latest_Filing_Quarter,Reported_AUM_USD,Key_Holdings_Summary,Trident_Relevance_Tier,Pre_13F_Baseline_Match,Notes,Source_URLs
Public Investment Fund (PIF),Gulf SWF,0001767640,Active 13F filer,Q3 2025,19400000000,Uber ($6.8B); EA ($3.96B); Lucid ($3.74B); Take-Two ($2.77B); MultiPlan; 1 other,TIER 1 — CRITICAL,YES — EA position confirmed at 9.9% as predicted,Slashed from 57 to 6 positions in Q3; EA stake matches $55B acquisition consortium role,https://fintel.io/i/public-investment-fund | https://whalewisdom.com/filer/public-investment-fund
Mubadala Investment Company PJSC,Gulf SWF,0001704268,Active 13F filer,Q3 2025,17900000000,GlobalFoundries ($16.14B — 81.1% ownership); iShares Bitcoin Trust ($567M); Blue Owl Tech Finance ($403M); ARM ($213M); Klarna ($110M); Lockheed Martin ($9.26M — NEW),TIER 1 — CRITICAL,PARTIALLY — GFS dominance confirmed; NEW defense (LMT) entry notable; NO Oracle/AMD/NVIDIA positions,GFS position validates CHIPS Act vulnerability thesis; new LMT position = first direct defense entry,https://fintel.io/i/mubadala-investment-co-pjsc | https://13f.info/manager/0001704268
Silver Lake Group LLC,Private Equity,0001418226,Active 13F filer,Q3 2025,5130000000,Unity Software ($1.39B); First Advantage ($1.38B); EverCommerce ($747M); Klarna ($530M — NEW); N-able ($480M); MSG Sports ($431M),TIER 1 — CRITICAL,PARTIALLY — No Oracle position; EA acquisition role confirmed but private; Klarna overlap with Mubadala notable,13 positions total; EA consortium member but deal is private transaction; Klarna overlap with Mubadala is structural signal,https://fintel.io/i/silver-lake-group | https://13f.info/13f/000119312525281718-silver-lake-group-l-l-c-q3-2025
Affinity Partners GP LP,PE/Kushner Fund,0002059583,Active 13F filer,Q3 2025,622719591,QXO Inc ($623M — 100% of portfolio),TIER 1 — CRITICAL,PARTIALLY — 13F EXISTS as predicted; sole holding is QXO (building products) not Phoenix/defense,QXO = $11B Beacon Roofing acquisition; Kushner on board; 100% concentration is unusual; NO Phoenix Financial in 13F (TASE-listed = not 13F-eligible),https://whalewisdom.com/filer/affinity-partners-gp-lp | https://fintel.io/i/affinity-partners-gp-lp-1582
Qatar Investment Authority,Gulf SWF,0001441449,Active 13F filer (limited),Q3 2025,Unknown,GBTG (16.6%); Vistra (5.5% — REDUCED); ALHC (6.69%); ESTA (8.27%); SION (5%),TIER 2 — MODERATE,LIMITED — No Oracle/EA/defense positions visible; energy (Vistra) exposure is notable,QIA files selectively via 13D/13G rather than comprehensive 13F-HR; positions are concentrated activist-style stakes,https://fintel.io/i/qatar-investment-authority
Apollo Management Holdings LP,Alternative Asset Manager,0001449434,Active 13F filer,Q3 2025,9120000000,Aspen Insurance ($2.77B — 34%); ADT ($888M); Hilton Grand Vacations ($763M); EchoStar ($302M); Rackspace ($183M),TIER 1 — CRITICAL (UPGRADED: credit pipeline),LIMITED — 13F shows insurance/hospitality; but CREDIT BOOK reveals $3B QXO + $3.5B xAI + $29B Meta + Stream DC pipeline,UPGRADED Feb 14: Apollo's Trident role is Debt/Financing not Equity. $3B credit to QXO (Affinity sole holding); $3.5B to xAI data centers; $29B Meta DC co-lender; majority stake Stream DC (4+ GW). $305B total origination 2025. 13F structurally irrelevant for Apollo's role. See 13F_Supplementary_Analysis_Feb14_2026.md,https://fintel.io/i/apollo-management-holdings | https://whalewisdom.com/filer/apollo-management-holdings-l-p | https://www.apollo.com/strategies/asset-management/credit
1789 Capital,VC/Growth Equity,N/A — No CIK found,NO 13F FILED,N/A,N/A,N/A — Private fund investments only (Anduril; Vulcan Elements; Skild AI; media companies),TIER 1 — CRITICAL,NOT FOUND — As baseline predicted may not meet threshold or structures below it,Form D filings exist for '1789 Capital Fund I LP' and '1789 Capital Oracle LP'; $2B+ AUM claimed but no 13F = either below threshold or no qualifying securities,https://aum13f.com/firm/1789-capital-management-llc | https://13f.info/form-d/0001965234-1789-capital-fund-i-lp
Energy Capital Partners,Energy PE,Multiple CIKs,Active 13F filer,Q3 2025,Unknown,Historically: Calpine; Dynegy; energy infrastructure; current positions via WhaleWisdom,TIER 2 — MODERATE,UNCERTAIN — ADQ/ECP $25B partnership is private; 13F shows public energy positions only,Multiple fund vehicles file separately (ECP III; ECP IV; ECP Management LP),https://whalewisdom.com/filer/energy-capital-partners-management-lp
MGX (Abu Dhabi),Gulf AI Investment Vehicle,Unknown,NO 13F FOUND,N/A,N/A,N/A — Investments are in private companies (OpenAI; xAI; Mistral; Aligned Data Centers),TIER 1 — CRITICAL,NOT FOUND — Newer entity; investments primarily in private AI companies not 13F-eligible,15% stake in TikTok USDS is private JV structure; Stargate participation is private; may file if/when US-listed portfolio exceeds $100M,N/A
Colombier Acquisition Corp III (SPAC),SPAC — 1789 Capital,2091024,S-1 filed; IPO Feb 2026,N/A,260000000,SPAC — no operating business yet; searching for acquisition target,TIER 2 — MODERATE,CONFIRMED — IPO at $260M as predicted; board includes Trump Jr. / Blake Masters / Laura Ingraham / Chamath,CIK 2091024; NYSE: CLBR/U; Colombier Sponsor III LLC holds 25.28% (10.1M shares); too new for 13F institutional holder data,https://www.spacresearch.com/symbol/CLBR3 | https://www.sec.gov/Archives/edgar/data/2091024
