Security,Ticker,Exchange,Sector,Gulf_SWF_Holders,Politically_Connected_Fund_Holders,Trident_Domain,Baseline_Prediction,Actual_Finding,Pattern_Signal,Notes
Electronic Arts Inc,EA,NASDAQ,Gaming/Tech,"PIF (24.8M shares, 9.9%, $3.96B)",Affinity Partners (consortium member); Silver Lake (consortium member),Tech Consolidation + Gulf Capital,Expected PIF position + consortium holdings in 13F,CONFIRMED — PIF holds 9.9% ($3.96B); deal announced Sep 2025 for $55B take-private,STRONG — Largest all-cash sponsor take-private in history; PIF + Silver Lake + Affinity consortium,"Deal expected to close Q1 FY2027; post-close EA will be private; $20B JPM debt financing"
Oracle Corp,ORCL,NASDAQ,Cloud/Data Infrastructure,NO Gulf SWF in top holders,NO politically-connected fund holders identified,Data Custody Layer (TikTok USDS),Expected Gulf SWF accumulation in Q4,NOT FOUND — Top holders are Vanguard (6.1%); BlackRock (4.9%); JPM (3.5%); NO Gulf SWF visible,WEAK — No direct Gulf SWF positioning visible in ORCL despite TikTok USDS role,"Norges Bank (Norway, $22.2M) is only sovereign fund in top holders; Gulf exposure may be indirect via managed mandates"
GlobalFoundries Inc,GFS,NASDAQ,Semiconductors,"Mubadala (450.4M shares, 81.1%, $16.14B)",None identified,Silicon Sovereignty + CHIPS Act,Expected Mubadala dominance confirmed,CONFIRMED — Mubadala holds 81.1% ($16.14B); received $1.59B CHIPS Act funding + $3.1B DoD contract,CRITICAL — UAE sovereign fund controls America's highest-security chip manufacturer,"Category 1A Trusted Foundry accreditation; $500M share buyback announced 2026; Q4 2025 revenue $1.83B"
Palantir Technologies,PLTR,NASDAQ,Defense/AI Analytics,NO Gulf SWF in top holders,NO politically-connected fund holders identified,Defense Tech Layer,Expected Gulf SWF accumulation,NOT FOUND — Top holders are Vanguard; BlackRock; State Street; no Gulf SWF visible,WEAK — No direct Gulf SWF positioning in Palantir,"45%+ institutional ownership but all US-based managers; no Gulf 13D/13G filings"
QXO Inc (fka Beacon Roofing),QXO,NYSE,Building Products/Construction,None visible in 13F,"Affinity Partners (32.7M shares, $623M, 100% of Affinity portfolio)",Infrastructure/Construction — Strategic Consolidation Vehicle,Not specifically tracked,DISCOVERED — Kushner's sole 13F position is in building products distribution,STRONG — Apollo-financed ($3B) strategic consolidation vehicle; $50B revenue target; Kodiak ($2.25B) acquired Feb 2026; full building envelope coverage; reconstruction alignment STRUCTURALLY PLAUSIBLE,"$11B Beacon + $2.25B Kodiak acquisitions; $10B war chest; Apollo/Temasek/Affinity/Sequoia Heritage backers; addressable market $200B+"
Lockheed Martin Corp,LMT,NYSE,Defense/Aerospace,"Mubadala (18,554 shares, $9.26M — NEW Q3 2025)",None identified,Defense Layer,Not specifically predicted for Mubadala,DISCOVERED — Mubadala initiated NEW defense position in Q3 2025,NOTABLE — First direct defense sector entry by Mubadala; small but directionally significant,"New position alongside exits from Leidos; signals rotation from IT defense to prime defense contractor"
Klarna Group PLC,KLAR,NYSE,Fintech/BNPL,"Mubadala (2.99M shares, $110M — NEW); Silver Lake (14.47M shares, $530M — NEW)",None identified,Fintech/Digital Commerce,Not tracked,DISCOVERED — Both Mubadala AND Silver Lake initiated Klarna positions in same quarter (Q3 2025),NOTABLE — Coordinated entry? Two Trident-linked entities enter same position same quarter,"Silver Lake is Mubadala LP investor; simultaneous Klarna entry could indicate information sharing or aligned thesis"
Vistra Corp,VST,NYSE,Energy/Power Generation,"QIA (18.7M shares, 5.5% — REDUCED)",None identified,Energy Infrastructure,Not specifically tracked,FOUND — QIA holds 5.5% but REDUCED position by 18.41%,MODERATE — Energy infrastructure position exists but is declining,"QIA reducing energy exposure; opposite of expected accumulation"
Uber Technologies Inc,UBER,NYSE,Ride-hailing/Mobility,"PIF (72.8M shares, $6.8B)",None identified,Tech/Mobility,Not primary focus,FOUND — PIF's largest US holding at $6.8B,LOW — Standard portfolio holding; not directly Trident-relevant,"Stable position; PIF's largest public equity bet in US market"
Arm Holdings PLC,ARM,NASDAQ,Chip Design/IP,"Mubadala (1.5M shares, $213M)",None identified,Silicon Sovereignty,Not specifically tracked,FOUND — Mubadala holds ARM position,MODERATE — Chip IP layer; SoftBank-linked; connects to AI compute supply chain,"ARM designs used in most mobile devices; architectural layer of silicon sovereignty"
iShares Bitcoin Trust ETF,IBIT,NASDAQ,Crypto/Digital Assets,"Mubadala (8.7M shares, $567M)",None identified,Digital Finance,Not tracked,FOUND — Mubadala has significant Bitcoin exposure,LOW — Crypto positioning by Gulf SWF is notable but not core to Trident thesis,"Second-largest Mubadala holding after GFS"
Take-Two Interactive Software,TTWO,NASDAQ,Gaming/Tech,"PIF (11.4M shares, $2.77B)",None identified,Gaming Consolidation,Not primary focus,FOUND — PIF holds $2.77B in Take-Two alongside EA,MODERATE — PIF concentrating in gaming sector; Take-Two (GTA publisher) + EA = dominant gaming portfolio,"Combined PIF gaming exposure (EA + TTWO) exceeds $6.7B"
